Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
GPATCH4	0.01944977178693154	3.17635893370551e-7	0.0014426950329443652	0.8804870864834491	0.9994628079712078	FALSE
SENP2	0.16397112336145303	3.053901627052425e-7	0.0014426949729041433	0.7184595470295753	0.9994628079712078	FALSE
ROPN1	0.4694272434253349	3.0450445510828805e-7	0.0014426950296756852	0.6689026061349077	0.9994628079712078	FALSE
EHMT1	7.86874929254568e-4	2.9998474104352305e-7	0.0014426950308120065	0.8948862974005619	0.9994628079712078	FALSE
LOC403312	0.06759228667549007	2.9938930739507677e-7	0.0014426950172044093	0.8503810628740497	0.9994628079712078	FALSE
KCNIP2	0.06574437233368363	2.9881863825058687e-7	0.001442695016997058	0.851454897527578	0.9994628079712078	FALSE
EFR3B	0.10433506820654959	2.98606597466926e-7	0.0014426949727191127	0.7791927111329393	0.9994628079712078	FALSE
NCAPG2	0.06576318062214985	2.977686683180684e-7	0.0014426950169067678	0.8514500945790315	0.9994628079712078	FALSE
CCDC180	0	2.974914983899919e-7	0.0014426950489671707	1	NA	NA
PDF	0.3973187262878875	2.965466618489648e-7	0.0014426950502616945	0.790637778319428	0.9994628079712078	FALSE
KPNB1	0.9215824136369741	2.9631117642416087e-7	0.0014426950199268585	0.6062055235500245	0.9994628079712078	FALSE
WDR1	0.06604911746467187	2.952831999585953e-7	0.001442695020146917	0.8512921587597073	0.9994628079712078	FALSE
RREB1	0.08382940848887699	2.9268815489613564e-7	0.0014426949806042434	0.8656670404689032	0.9994628079712078	FALSE
GARIN1A	0	2.90395898134813e-7	0.001442695022692077	1	NA	NA
POLR2A	0	2.8898741385644214e-7	0.0014426950465889655	1	NA	NA
TSIX	4.636626260028454	2.8749200328689027e-7	0.0014426943099346908	0.7392656775702361	0.9994628079712078	FALSE
ROS1	0.24827904326656539	2.85906222130227e-7	0.0014426949819350264	0.7383075152071381	0.9994628079712078	FALSE
ACAT1	4.461973552762151	2.833098375009381e-7	0.0014426945376878374	0.1428933100292132	0.9994628079712078	FALSE
USP7	0.13616220727502687	2.7679640829582587e-7	0.001442694967273073	0.7388328474634386	0.9994628079712078	FALSE
MOBP	0.10174639090359947	2.7574825935266323e-7	0.0014426949935283557	0.8730547229418305	0.9994628079712078	FALSE
COMMD1	0.3224559484480959	2.7101460720206667e-7	0.0014426950465673929	0.7389442675857189	0.9994628079712078	FALSE
SIN3A	0.37164555971094554	2.692657916946865e-7	0.001442695011954317	0.6789929738518176	0.9994628079712078	FALSE
EVA1C	0.2503962484822777	2.6451224615554217e-7	0.0014426950071308282	0.720039002454277	0.9994628079712078	FALSE
SNX22	0.1789317770601665	2.61603004488433e-7	0.0014426950200056364	0.7924651128909789	0.9994628079712078	FALSE
TNS3	2.3540449462339166	2.5859808220332113e-7	0.0014426950382280966	0.457414358058191	0.9994628079712078	FALSE
DNAJC27	0	2.5591187017066875e-7	0.001442695036723676	1	NA	NA
DPP6	0.10695400492474376	2.54464078459053e-7	0.0014426949616812464	0.8181228540405172	0.9994628079712078	FALSE
NOTCH2	0	2.5395725677735705e-7	0.0014426950392125643	1	NA	NA
PAX5	1.864367594902701	2.5365553388439213e-7	0.001442694657161814	0.6190054703948232	0.9994628079712078	FALSE
ADAM32	1.226530529832398	2.526373287955056e-7	0.0014426947272423326	0.6632888923088958	0.9994628079712078	FALSE
COX1	0.08078499009072986	2.5223284606565133e-7	0.0014426949851040422	0.8623551432455334	0.9994628079712078	FALSE
AKIP1	0.10309458232932957	2.518315270212146e-7	0.0014426948609536625	0.7469572738118817	0.9994628079712078	FALSE
ZNF530	0.07317189708289622	2.514327523363544e-7	0.0014426950105960526	0.8542697465311786	0.9994628079712078	FALSE
TAPT1-AS1	0.1768489301294857	2.490322228032563e-7	0.0014426950182909065	0.7934380129755589	0.9994628079712078	FALSE
VRK3	0.06646462869708648	2.4851528035973816e-7	0.0014426950127404974	0.8514907287893699	0.9994628079712078	FALSE
GANC	0.7506855316906905	2.4845453237247893e-7	0.0014426950278490533	0.6982090494530852	0.9994628079712078	FALSE
ANXA6	0	2.4787274714090935e-7	0.001442695024857605	1	NA	NA
TMEM184A	0	2.455710255354706e-7	0.0014426950355233988	1	NA	NA
TMEM273	0.1910112603091706	2.453859084769572e-7	0.0014426948558753274	0.7482520812087802	0.9994628079712078	FALSE
YME1L1	0.071395128468378255	2.445093879875115e-7	0.0014426947874751923	0.6169559921429073	0.9994628079712078	FALSE
NDUFAF6	0.7692959097978157	2.439268883551773e-7	0.0014426950052754924	0.6043323151688491	0.9994628079712078	FALSE
RPL13	0.7311847356745669	2.4369043723314934e-7	0.0014426950278184315	0.6403497278416281	0.9994628079712078	FALSE
DOCK2	0.9272123668189507	2.426569235134603e-7	0.001442695029792483	0.6062723216168302	0.9994628079712078	FALSE
SPTAN1	0.08577564903903859	2.418434667228374e-7	0.001442695032301515	0.915354655875037	0.9994628079712078	FALSE
FOXB1	0	2.406087563336102e-7	0.0014426950307797409	1	NA	NA
HSD17B7	0.8225828276338877	2.4042257399651816e-7	0.0014426950285994068	0.6236968122224404	0.9994628079712078	FALSE
YY1	1.2923264958096374	2.3947657833008466e-7	0.001442694814629452	0.738271442552398	0.9994628079712078	FALSE
ZNF219	0.01769576189783593	2.3935999248641245e-7	0.0014426949761995001	0.8713118984614028	0.9994628079712078	FALSE
PATJ	0	2.389973310444401e-7	0.001442695028360659	1	NA	NA
FAM184B	0.5299123937063924	2.3886623775068637e-7	0.0014426950242272401	0.68376971838143	0.9994628079712078	FALSE
KAT6B	0.1660976098481791	2.388453817287672e-7	0.0014426948079621588	0.770246217916476	0.9994628079712078	FALSE
PDLIM5	0.062184903741450866	2.3775226260955953e-7	0.001442695012875249	0.8535423758869117	0.9994628079712078	FALSE
GBA2	0.29257942108180485	2.3753391194949792e-7	0.0014426948884001386	0.7923692057402323	0.9994628079712078	FALSE
TRAPPC13	1.3676828694531313	2.3715226740190919e-7	0.0014426950323260857	0.5483681255456334	0.9994628079712078	FALSE
EPIC1	1.332085628311276	2.349008398549562e-7	0.001442695031959511	0.552831302764103	0.9994628079712078	FALSE
LRTM1	0.5682358570126006	2.3478635087015324e-7	0.001442694705525435	0.7437011472785837	0.9994628079712078	FALSE
PDZD11	0.04324912226383413	2.323896292760237e-7	0.0014426949616116371	0.8015452025506541	0.9994628079712078	FALSE
HAGH	0.435962674655663	2.3209745126220086e-7	0.0014426948529476112	0.7463656101172458	0.9994628079712078	FALSE
INTS2	0.548388551755925	2.3090717011144119e-7	0.001442695024196938	0.679238551539475	0.9994628079712078	FALSE
ACVR1B	0	2.2851673315443472e-7	0.0014426950231884188	1	NA	NA
LOC124905564	0.1154533799818625	2.2827060477272345e-7	0.0014426950230326887	0.823722775564192	0.9994628079712078	FALSE
RNFT2	0	2.2720805092632995e-7	0.0014426950221991593	1	NA	NA
YIPF4	0.1320616547947169	2.247902175505976e-7	0.001442694876709569	0.7807744369504994	0.9994628079712078	FALSE
ATG16L2	7.956160809588736e-4	2.2454930356071516e-7	0.0014426950288539174	0.8940355547863277	0.9994628079712078	FALSE
TF	0.18279618391864172	2.2347953136597647e-7	0.0014426950160264505	0.7919239234399063	0.9994628079712078	FALSE
ADAM28	0	2.2152375294753184e-7	0.0014426950305427117	1	NA	NA
SEC14L4	0.37403888891837633	2.2065432695037756e-7	0.0014426950195729927	0.7785104882763182	0.9994628079712078	FALSE
TECR	0.1064124670264158	2.2025940191071824e-7	0.0014426950135247123	0.8286387699295199	0.9994628079712078	FALSE
ZNF10	0	2.201168353083171e-7	0.0014426950196576875	1	NA	NA
MALT1	0.40400516553410754	2.200775089065804e-7	0.0014426950202412632	0.7620411686030988	0.9994628079712078	FALSE
TNRC6B	1.4218865421801623	2.2006621070100145e-7	0.001442695031710111	0.5401959921652808	0.9994628079712078	FALSE
RAP1B	0.14672566234744414	2.1899592920607956e-7	0.0014426949748618683	0.9891330913672248	0.9994628079712078	FALSE
DCLRE1C	0.6832358925972785	2.1837720906745467e-7	0.0014426948295343952	0.6291794936457353	0.9994628079712078	FALSE
CYLD	0.19218810703140835	2.1810619880702357e-7	0.0014426950154611139	0.7866768994057785	0.9994628079712078	FALSE
OPRD1	0.12707349894992134	2.1668032613947128e-7	0.0014426950132455625	0.8174727837374486	0.9994628079712078	FALSE
CAMTA1-AS2	0.2721929911189585	2.1444459063495083e-7	0.0014426949851184924	0.8339776127542223	0.9994628079712078	FALSE
TRAV22	0.17567994546170648	2.1301392271124156e-7	0.0014426949299989702	0.6314054953353343	0.9994628079712078	FALSE
NFX1	0.4568610787744566	2.12679411794738e-7	0.0014426947670197624	0.7444289459530313	0.9994628079712078	FALSE
FAM76A	0.06384284364196731	2.1063934406170629e-7	0.0014426949777515405	0.8387509948168655	0.9994628079712078	FALSE
PCDH15	0.23759602602673421	2.105549673828813e-7	0.0014426950165022047	0.7682363345798279	0.9994628079712078	FALSE
SPATA2	0.2654431726230122	2.093364827820547e-7	0.001442695004853954	0.8978509315812161	0.9994628079712078	FALSE
EMX2OS	0.29105513188274945	2.0778554807243308e-7	0.0014426950177291945	0.7488203582513736	0.9994628079712078	FALSE
MAN1B1	0.38531253527391135	2.064241805079528e-7	0.0014426950086186064	0.736280942904086	0.9994628079712078	FALSE
MECP2	0.12384037959149524	2.0628069632712857e-7	0.0014426950129398856	0.819180609638683	0.9994628079712078	FALSE
ZYG11A	0.058054419258404585	2.0451659037972527e-7	0.0014426949956535414	0.8612587662754483	0.9994628079712078	FALSE
TCEANC2	0.8203021646399932	2.0393260692222025e-7	0.0014426949864921965	0.7475046875395159	0.9994628079712078	FALSE
TRG-AS1	0.062184903741450866	2.0297467676407975e-7	0.0014426950097939618	0.8535423758869117	0.9994628079712078	FALSE
UQCR10	1.662171229586475	2.0262745890885304e-7	0.001442694713208627	0.6210767794923061	0.9994628079712078	FALSE
MROH7	0.1471842613924306	2.0023252532046384e-7	0.001442695013098992	0.8073270987993355	0.9994628079712078	FALSE
RUFY1	0	2.000880528383873e-7	0.001442695034059915	1	NA	NA
RC3H2	0	1.991801201526423e-7	0.0014426950190809047	1	NA	NA
TJP2	0.31340535672193626	1.9916421801414873e-7	0.001442695017265778	0.7438593757555869	0.9994628079712078	FALSE
SLAIN2	0.8409576276738507	1.9876157390075421e-7	0.0014426949953734649	0.7160940604946988	0.9994628079712078	FALSE
PXYLP1	0.13705206878993573	1.980011241852817e-7	0.0014426949659551965	0.9989408210908124	0.9994628079712078	FALSE
BHMT	0.10332680083756095	1.9772986659527837e-7	0.0014426950117409929	0.8303449500425601	0.9994628079712078	FALSE
PIGH	0.321662512344049	1.9744380910608357e-7	0.0014426950181454803	0.738725673013594	0.9994628079712078	FALSE
APOL1	0.5161617490113004	1.9689321518336643e-7	0.0014426949737224321	0.8090839714478452	0.9994628079712078	FALSE
MPDZ	0.10638569399540126	1.9587902264740393e-7	0.0014426950115612152	0.8287018567060956	0.9994628079712078	FALSE
